"","subIDs","full_N1_all_mean_amp","full_N1_all_mean_amp_odds","full_N1_all_mean_amp_evens","full_N1_all_SME","full_P3_rare_frequent_mean_amp","full_P3_rare_frequent_mean_amp_odds","full_P3_rare_frequent_mean_amp_evens","full_P3_rare_frequent_SME","odds_N1_all_mean_amp","odds_N1_all_mean_amp_odds","odds_N1_all_mean_amp_evens","odds_N1_all_SME","odds_P3_rare_frequent_mean_amp","odds_P3_rare_frequent_mean_amp_odds","odds_P3_rare_frequent_mean_amp_evens","odds_P3_rare_frequent_SME","x99_N1_all_mean_amp","x99_N1_all_mean_amp_odds","x99_N1_all_mean_amp_evens","x99_N1_all_SME","x99_P3_rare_frequent_mean_amp","x99_P3_rare_frequent_mean_amp_odds","x99_P3_rare_frequent_mean_amp_evens","x99_P3_rare_frequent_SME","x90_N1_all_mean_amp","x90_N1_all_mean_amp_odds","x90_N1_all_mean_amp_evens","x90_N1_all_SME","x90_P3_rare_frequent_mean_amp","x90_P3_rare_frequent_mean_amp_odds","x90_P3_rare_frequent_mean_amp_evens","x90_P3_rare_frequent_SME","rejected time segments %","# rejected elecs","full ica elapsed time","odds ica elapsed time","99% PCA-ICA elapsed time","90% PCA-ICA elapsed time","99% thresh # of PCs","90% thresh # of PCs","% var mixed full","% var mixed odds","% var mixed 99","%var mixed 90","# of freq trials full","# of rare trials full","# of freq trials odds","# of rare trials odds","# of freq trials 99","# of rare trials 99","# of freq trials 90","# of rare trials 90"
"11",10704200,-0.821721,-0.7162032,-0.9272389,0.1769678,0.5922353,1.473528,-0.3022107,0.999706,-0.7826319,-0.4315811,-1.133683,0.2147577,3.082799,3.264155,2.898735,1.056402,-0.9092807,-0.6268806,-1.191681,0.1309254,3.044952,3.46917,2.614403,0.8921537,0.01142308,0.007830286,0.01501587,0.01312556,0.04837567,0.100857,-0.004888947,0.08174664,11.7064826626464,1,1396.016598,672.143161,441.055921,57.673703,45,3,48.43119,21.86581,"17.25027","20.0675",556,135,556,135,"556","135","556","135"
"12",10705200,-1.590454,-1.612822,-1.568086,0.1171425,0.7227312,1.387443,0.04960555,0.5127773,-1.637764,-1.675547,-1.599981,0.1210784,1.503538,1.469102,1.538411,0.582647,-1.536763,-1.557182,-1.516344,0.1164303,0.6473539,0.7351483,0.5584481,0.4658483,-1.413857,-1.398845,-1.42887,0.09337206,0.9615759,0.971496,0.9515303,0.3702225,1.64225108225108,3,1721.888468,757.163825,770.590586,104.045764,64,7,47.00239,22.44499,"38.79403","5.512581",625,159,625,159,"625","159","625","159"
"13",10706200,-1.460437,-1.474592,-1.446247,0.104781,0.4339145,0.8108017,0.05702727,0.5893912,-1.383837,-1.440861,-1.326669,0.1125725,-0.5705241,-0.8325664,-0.308482,0.7278777,-1.475513,-1.486867,-1.464131,0.1025817,0.2681752,0.6389902,-0.1026399,0.5114858,NA,NA,NA,NA,NA,NA,NA,NA,0.929259815014399,3,2361.171726,1052.008416,299.572177,4.722081,40,1,22.60255,18.97634,"16.79344","no components left after rejecting",633,160,633,160,"633","160","no trial info","no trial info"
"14",10709200,-0.5995321,-0.5758198,-0.6232442,0.1158421,0.462024,0.7984198,0.1210826,0.4209679,-0.6695002,-0.6906198,-0.6483809,0.1275011,-1.473784,-0.3620064,-2.600585,0.7069996,-0.5721558,-0.6130362,-0.5312754,0.1107434,-0.506915,-0.4809759,-0.5332045,0.4211579,-0.01783085,-0.01310176,-0.02255992,0.003593869,-0.2731521,-0.06890903,-0.4801551,0.1959117,4.44102354549169,7,1836.463736,741.297947,444.862652,58.433725,45,3,28.08038,33.63883,"21.96563","0",610,149,610,149,"610","149","610","149"
"15",10710200,-1.359855,-1.877887,-0.8418224,0.1200033,2.709656,3.042238,2.377075,0.4444045,-1.251261,-1.707001,-0.7955201,0.1441976,3.842475,4.825953,2.858999,0.4847723,-1.3799,-1.893299,-0.866502,0.1199436,3.114411,3.766818,2.462004,0.4555497,-1.427627,-1.96673,-0.8885236,0.1132339,2.45407,2.597428,2.310711,0.4208192,0.106518668978276,12,1145.688037,721.91434,876.399426,174.994634,88,24,69.52191,69.78026,"62.98394","55.15471",640,160,640,160,"640","160","640","160"
"16",10712200,-0.950273,-0.8595223,-1.041254,0.1600536,0.7391629,-0.2724721,1.750798,0.6830278,-1.136016,-1.065397,-1.206814,0.1636574,0.6555061,0.3841873,0.9268251,0.848018,-0.8612975,-0.7627396,-0.9601055,0.1489673,0.0147328,0.1663009,-0.1368354,0.7376055,0.01123606,0.1075575,-0.08532982,0.07353356,0.4629324,0.05693761,0.8689272,0.5440582,1.497540339134,12,2739.944879,986.15329,587.399968,53.211699,48,4,45.88508,46.26143,"43.02364","32.83063",624,158,624,158,"624","158","624","158"
"17",10716100,-1.308278,-1.273629,-1.342926,0.09183367,0.08477761,0.1335543,0.03600099,0.4076393,-1.505097,-1.61447,-1.395723,0.1374735,0.0713055,0.2118586,-0.0692476,0.6817361,-1.306991,-1.273757,-1.340226,0.09049406,0.0407807,-0.0992162,0.1807777,0.3876804,-0.7409745,-0.7523642,-0.7295848,0.05134688,0.1038212,0.2051077,0.002534683,0.1784739,1.57766023409437,2,1285.059215,1005.392231,784.397175,44.446368,62,3,31.48061,24.97684,"20.57358","0",628,156,628,156,"628","156","628","156"
"18",10717200,-0.9839737,-1.005269,-0.9626173,0.1841156,-0.5956861,0.7773318,-1.968704,1.442302,-1.001148,-1.042507,-0.9596708,0.1860544,-0.2640622,-1.224519,0.6963938,1.489718,-0.9793081,-0.9957302,-0.962839,0.1853267,-1.935861,-4.832598,0.9608756,1.862873,-0.6324801,-0.5741772,-0.6909502,0.1273959,0.06662647,-1.521661,1.654915,1.083684,15.1960978547711,1,1030.931933,651.356281,290.625148,50.744123,43,4,94.43832,90.46446,"89.05079","28.00702",547,134,547,134,"547","134","547","134"
"19",10718100,-2.295294,-2.28258,-2.308041,0.1330087,0.90029,0.5230596,1.27752,0.5444118,-2.111635,-2.029119,-2.194369,0.1404224,1.239216,0.2706379,2.207795,0.7445574,-2.575556,-2.553812,-2.597357,0.1600771,1.11568,0.2949511,1.936407,1.139007,-1.092146,-1.070905,-1.113443,0.07482841,0.2448362,0.02560464,0.4640678,0.2206244,6.5852706735946,0,1566.772091,676.022969,725.517579,103.908348,72,8,65.06998,56.21441,"69.49453","32.36151",586,152,586,152,"586","152","586","152"
"20",10719100,-1.915178,-2.034934,-1.795423,0.07149974,0.7489293,0.9926181,0.5052401,0.2391107,-1.895242,-2.0422,-1.748284,0.07302558,0.2711989,0.2636175,0.2787803,0.2875398,-1.909218,-2.042973,-1.775464,0.06745688,0.7827299,0.8021031,0.7633567,0.2244186,-0.2647224,-0.2525757,-0.276869,0.01999313,-0.0235393,-0.1044744,0.05739583,0.1816728,10.0630796080623,0,1152.902921,692.54715,190.538656,56.132697,29,2,84.62381,85.56447,"83.43716","88.1481",558,144,558,144,"558","144","558","144"
